sof_neighborhood_shop_PP,sof_main_super_market_PP,sof_mini_super_market_PP,sof_home_delivery_or_mobile_shops_PP,sof_own_field_PP,sof_govt_ngo_PP,sof_online_PP,sof_neighbors_PP,sof_fairs_PP,fin_bank_city_PP,fin_bank_near_PP,fin_local_financial_PP,fin_atm_city_PP,fin_atm_near_PP,fin_online_banking_PP,fin_post_office_PP,lei_trips_PP,lei_recreational_PP,lei_social_gathering_PP,mot_public_PP,mot_shared_vehi_PP,mot_hired_PP,mot_own_vehicle_PP,mot_bicycle_PP,mot_walking_PP,w_work_from_home_PP,w_come_from_home_PP,w_come_from_renthouse_PP,w_come_from_commonhostel_PP,wmot_public_PP,wmot_shared_PP,wmot_hired_PP,wmot_own_vehicle_PP,wmot_bicycle_PP,wmot_walking_PP,w_alone_home_PP,w_with_few_known_PP,w_with_few_known_lim_unknown_PP,w_with_few_irre_unknown_PP,w_with_large_irre_unknown_PP
1.6666666666666665,1.3333333333333333,0.6666666666666665,2.0,0.0,0.33333333333333326,0.0,0.33333333333333326,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,1.0,0.33333333333333326,0.6666666666666667,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.3333333333333335,0.0,2.333333333333333,0.0,0.0
-2.0,0.0,2.333333333333333,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.6666666666666665,0.0,0.0,-0.33333333333333326,-0.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,0.0,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,-1.0,-0.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.0,0.0,1.0,0.6666666666666667,0.0,1.6666666666666667,1.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0
0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
0.6666666666666665,0.0,0.0,-1.0,-0.3333333333333335,0.0,0.0,0.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,-1.3333333333333335,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.6666666666666667,0.33333333333333326,0.0,0.0,1.0,0.6666666666666667,0.33333333333333326,0.33333333333333326,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6666666666666665,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333335,0.0,2.0,0.0
0.6666666666666667,2.0,2.0,-0.3333333333333335,0.0,0.33333333333333326,0.0,1.0,1.0,1.0,1.0,0.33333333333333326,1.0,1.0,0.0,0.33333333333333326,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,1.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,1.6666666666666667,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.6666666666666667,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.6666666666666667,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33333333333333326,0.3333333333333335,0.0,0.0,0.0
1.0,0.33333333333333326,2.333333333333333,0.0,0.0,0.33333333333333326,0.0,1.0,1.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.33333333333333326,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,0.0,0.0,-0.3333333333333335,0.0,0.0,1.3333333333333335,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0
2.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,2.333333333333333,0.0,0.0,2.0,1.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
0.0,0.0,0.0,-1.3333333333333335,0.0,-1.0,0.0,0.0,0.0,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,2.0,0.0
0.3333333333333335,1.6666666666666665,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3333333333333335,1.0,1.0,0.0,0.33333333333333326,0.0,0.0,2.333333333333333,0.0,2.333333333333333,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666665,0.0,0.0,0.0
0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.6666666666666665,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333335,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666665,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1.3333333333333335,1.0,-0.6666666666666665,-2.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.6666666666666665,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,-1.0,0.0,-0.3333333333333335,0.0,0.0,0.0,2.0,0.0,0.0,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6666666666666665,-0.3333333333333335,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333335,1.0,0.0,0.3333333333333335,0.3333333333333335,0.0,-1.0,0.0,0.33333333333333326,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.3333333333333335,1.6666666666666665,0.0,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,-1.6666666666666665,0.0,0.0,0.0,0.0
2.333333333333333,0.6666666666666667,1.0,1.0,0.0,0.6666666666666667,0.0,0.33333333333333326,0.6666666666666667,0.0,1.0,0.33333333333333326,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666665,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,-0.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,-1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
1.0,0.0,1.0,0.3333333333333335,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.6666666666666667,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,0.0,-0.3333333333333335,0.0,0.0,0.0,0.3333333333333335,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.33333333333333326,1.3333333333333335,0.3333333333333335,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,2.0,2.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333335,0.6666666666666665,0.0,0.0,0.0
-1.0,1.0,2.0,-2.0,-0.33333333333333326,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666665,0.0,0.0,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.6666666666666665,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3333333333333335,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666667,0.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,1.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.33333333333333326,0.33333333333333326
0.3333333333333335,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,-1.0,0.0,0.0,1.6666666666666665,1.0,0.0,2.0,0.6666666666666667,0.0,0.0,-0.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,-0.6666666666666667,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333335,0.0,0.6666666666666667,0.6666666666666667,0.0
-0.6666666666666665,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,0.0
1.3333333333333333,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,2.333333333333333,0.0,0.0,0.0
0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666667,0.6666666666666667,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.0,0.33333333333333326,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3333333333333333,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.6666666666666667,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.33333333333333326,0.0,0.0,1.0,0.0,2.333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,0.0,0.0
1.3333333333333333,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,1.3333333333333333,2.666666666666667,0.0,0.0,0.0,0.0,2.333333333333333,0.0,2.666666666666667,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,2.666666666666667,0.0,0.0,0.0
1.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.6666666666666665,0.0,0.0,-1.3333333333333335,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.666666666666667,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,1.6666666666666667,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.6666666666666667,1.0,-0.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.33333333333333326,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0
1.3333333333333335,0.0,0.0,-1.0,0.0,0.0,0.0,-0.6666666666666667,1.0,2.333333333333333,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.666666666666667,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333335,2.333333333333333,0.0,0.0
0.0,1.0,0.0,-1.3333333333333335,0.0,-0.6666666666666667,-0.33333333333333326,0.0,0.6666666666666665,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.33333333333333326,0.6666666666666665,0.0,0.0,0.0
-1.6666666666666665,1.3333333333333335,0.6666666666666665,-0.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,-0.3333333333333335,0.0,0.6666666666666665,0.3333333333333335,0.0,0.6666666666666667,-0.33333333333333326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.0,0.0,-0.33333333333333326,0.0,0.0,1.0,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.6666666666666667,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666667,0.0,1.0,-1.3333333333333335,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.33333333333333326,0.0,0.6666666666666667,0.0,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
0.6666666666666667,0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666667,0.6666666666666667,0.0,0.33333333333333326,1.6666666666666667,0.0,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.0,0.33333333333333326,0.0,0.0,1.3333333333333333,-1.0,2.666666666666667,0.0,0.0,0.6666666666666667,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,2.666666666666667,0.0,0.0,0.0
0.0,0.0,0.0,-0.33333333333333326,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.33333333333333326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.6666666666666665,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.33333333333333326,0.0,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,1.3333333333333335,0.0
2.0,0.0,0.0,-0.33333333333333326,-2.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,-1.0,0.0,-1.3333333333333335,0.0,1.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,2.666666666666667,0.0,0.0,0.0,0.0,0.0,2.666666666666667,0.0,0.0,0.0,0.0,2.666666666666667,0.0,0.0
0.0,0.0,0.0,-0.6666666666666667,0.0,-0.6666666666666667,0.0,0.0,0.0,-0.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33333333333333326,0.3333333333333335,1.0,0.0,0.0
0.0,0.6666666666666667,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.33333333333333326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,1.6666666666666665,0.0,0.0,0.0
1.0,0.0,0.0,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,2.0,0.0,2.333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666665,0.0,2.666666666666667,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
